image_id,ocr_text,product_name
img_0001,,
img_0002,,
img_0003,Hệ Lụy Đồ Hộp,
img_0004,,
img_0005,MUKBANG Review ĐỒ HỘP HẠ LONG,Đồ Hộp Hạ Long
img_0006,MUKBANG Review ĐỒ HỘP HẠ LONG,Đồ Hộp Hạ Long
img_0007,REVIEW MỌI THỨ TOMCHUTRUE REVIEW,
img_0008,MUKBANG Review ĐỒ HỘP HẠ LONG,Đồ Hộp Hạ Long
img_0009,HÓNG SÀI GÒN,
img_0010,"Hóng SÀI GÒN ĐỨT CHUỖI: NÉ ĐƯỢC TẤT CẢ CÚ LỪA 2025 NHƯNG ""SẢY CHÂN"" Ở HIGHLAND COFFEE VÌ TRÀ SEN VÀNG + BÁNH MÌ QUE?!",Highlands Coffee
img_0011,"Hóng SÀI GÒN ĐỨT CHUỖI: NÉ ĐƯỢC TẤT CẢ CÚ LỪA 2025 NHƯNG ""SẢY CHÂN"" Ở HIGHLAND COFFEE VÌ TRÀ SEN VÀNG + BÁNH MÌ QUE?!",Highlands Coffee
img_0012,"Hóng SÀI GÒN ĐỨT CHUỖI: NÉ ĐƯỢC TẤT CẢ CÚ LỪA 2025 NHƯNG ""SẢY CHÂN"" Ở HIGHLAND COFFEE VÌ TRÀ SEN VÀNG + BÁNH MÌ QUE?!",Highlands Coffee
img_0013,"này là muốn tạo conten hả ?? hỏi thật Cô gái ăn patê cột đèn Hải Phòng giữa lúc drama, nhưng CĐM thấy cố tạo content, lẽ nào không biết?",Pate Cột Đèn Hải Phòng
img_0014,,
img_0015,"này là muốn tạo conten hả ?? hỏi thật Trả lời 1116 Cô gái ăn patê cột đèn Hải Phòng giữa lúc drama, nhưng CĐM thấy cố tạo content, lẽ nào không biết?",Pate Cột Đèn Hải Phòng
img_0016,"này là muốn tạo conten hả ?? hỏi thật Trả lời 1116 Cô gái ăn patê cột đèn Hải Phòng giữa lúc drama, nhưng CĐM thấy cố tạo content, lẽ nào không biết?",Pate Cột Đèn Hải Phòng
img_0017,GÓC CHIA SẺ Chấn động thực phẩm Việt! Sở Y Tế thu khẩn hồi tới 25 triệu hộp pate Cột Đèn Hải Phòng vì liên quan thịt heo nhiễm dịch tả châu Phi!,Pate Cột Đèn Hải Phòng
img_0018,8KBET GÓC CHIA SẺ,
img_0019,GÓC CHIA SẺ Chấn động thực phẩm Việt! Sở Y Tế thu khẩn hồi tới 25 triệu hộp pate Cột Đèn Hải Phòng vì liên quan thịt heo nhiễm dịch tả châu Phi!,Pate Cột Đèn Hải Phòng
img_0020,GÓC CHIA SẺ Chấn động thực phẩm Việt! Sở Y Tế thu khẩn hồi tới 25 triệu hộp pate Cột Đèn Hải Phòng vì liên quan thịt heo nhiễm dịch tả châu Phi!,Pate Cột Đèn Hải Phòng
img_0021,CÔNG TY CỔ PHẦN ĐỒ HỘP HALONG CAN KÊNH TIN TỨC NEWS Sở Y Tế ra quyết định cứng rắn! Giải thể Halong Canfoco sau bê bối dịch tả lợn châu Phi!,Halong Canfoco
img_0022,,
img_0023,CÔNG TY CỔ PHẦN ĐỒ HỘP HALONG CAN KÊNH TIN TỨC NEWS Sở Y Tế ra quyết định cứng rắn! Giải thể Halong Canfoco sau bê bối dịch tả lợn châu Phi!,Halong Canfoco
img_0024,CÔNG TY CỔ PHẦN ĐỒ HỘP HALONG CAN KÊNH TIN TỨC NEWS Sở Y Tế ra quyết định cứng rắn! Giải thể Halong Canfoco sau bê bối dịch tả lợn châu Phi!,Halong Canfoco
img_0025,Nhân Hòa Foods,Nhân Hòa Foods
img_0026,POV: Bạn thực sự đã tìm được bài hát về pate trên cuộc đời này =)) Nhân Hòa Foods POV: Thực sự có bài hát về pate,Nhân Hòa Foods
img_0027,POV: Bạn thực sự đã tìm được bài hát về pate trên cuộc đời này =)) Nhân Hòa Foods POV: Thực sự có bài hát về pate,Nhân Hòa Foods
img_0028,POV: Bạn thực sự đã tìm được bài hát về pate trên cuộc đời này =)) Nhân Hòa Foods POV: Thực sự có bài hát về pate 900,Nhân Hòa Foods
img_0029,VTDC,
img_0030,VTDC Vui Thôi Đừng Ca COFFEE HIGHLANDS COFEE Pate Cột Đền x Highlands Patê CỘT ĐÈN HẢI PHÒNG HEO BỆNH,Highlands Coffee
img_0031,VTDC Vui Thôi Đừng Ca HIGHLANDS COFFEE HIGHLANDS COFEE Patê CỘT ĐÈN HẢI PHÒNG HEO BỆNH,Highlands Coffee
img_0032,VTDC Vui Thôi Đừng Ca HIGHLANDS COFFEE HIGHLANDS COFEE Patê CỘT ĐÈN HẢI PHÒNG HEO BỆNH,Highlands Coffee
img_0033,,Pate Cột Đèn Hải Phòng
img_0034,"Đồ hộp Hạ Long bất ngờ khẳng định sản phẩm an toàn vì virus đã bị ""tiêu diệt""?? TIKTOK aFamily",Pate Cột Đèn Hải Phòng
